PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
39724127,164274205,0,13011,117,40,117,50256410,0,0,0,
39639169,164403908,0,15297,120,13,117,50074611,0,0,0,
39639957,164299171,0,17414,118,40,117,50068427,0,0,0,
38412289,164054914,0,18278,116,7,80,50142281,0,0,0,
38144010,164478233,0,19355,118,12,42,50127126,0,0,0,
38123880,164155526,0,20348,120,65,40,50133119,0,0,0,
38120219,164408860,0,15376,119,16,40,50253562,0,0,0,
38100726,164143479,0,14260,121,54,41,50194732,0,0,0,
38111407,164148152,0,14068,120,0,40,50159726,0,0,0,
37929749,163889094,0,14003,118,67,41,50307227,0,0,0,
37789146,163547277,0,18504,91,10,41,48759106,0,0,0,
37824536,163337154,0,21340,60,30,40,48569254,0,0,0,
37854044,163275596,0,22778,63,45,40,48601441,0,0,0,
38079218,163762637,0,20765,63,0,40,48747357,0,0,0,
38099353,163911326,0,17750,65,103,42,48852788,0,0,0,
38196331,164190156,0,20520,61,8,67,48761284,0,0,0,
49669393,196571934,0,19310,61,25,107,48679694,0,0,0,
39688260,168420570,3,21544,230,43,123,47476912,0,3,0,
39723200,168496230,0,22409,52,28,111,46296215,0,0,0,
39645802,168247867,0,20936,51,57,115,45104451,0,0,0,
39726683,169066974,0,18573,51,48,111,43933264,0,0,0,
39686994,168445346,0,20319,50,50,114,42641382,0,0,0,
39647763,168600511,0,20499,69,34,110,41726766,0,0,0,
49565381,196546044,0,24950,113,48,115,41656115,0,0,0,
49522777,196682951,0,18621,112,27,113,41677499,0,0,0,
49605660,196716625,0,23545,114,20,115,41759668,0,0,0,
49606585,196784503,0,22646,116,36,114,41645105,0,0,0,
49616428,197060446,0,23441,115,46,116,41772877,0,0,0,
49688156,197154594,0,24761,115,36,115,41722761,0,0,0,
49605743,196963845,0,24561,110,19,112,41727893,0,0,0,
39640222,168739984,0,21261,118,23,119,50051889,0,0,0,
39639868,168657935,0,19900,115,25,116,50012378,0,0,0,
39714360,168809437,0,15914,117,37,138,49975091,0,0,0,
39722027,169093686,0,16226,116,19,116,50245129,0,0,0,
39718842,169005670,0,17594,116,65,116,50134271,0,0,0,
39723119,169144685,0,15815,116,36,116,50037066,0,0,0,
39682604,165676143,0,16769,115,29,114,50226218,0,0,0,
39640923,164070305,0,17660,116,26,132,50155619,0,0,0,
39880088,163720956,0,20424,260,946,320,50304660,0,0,0,
39520296,164390846,0,15355,136,279,129,50099592,0,0,0,
39720574,164023601,0,13368,124,50,117,50189878,0,0,0,
39643632,165714088,0,14315,128,60,128,49806941,0,0,0,
39635886,164832553,0,19215,222,234,204,50047692,0,0,0,
38991939,164672946,0,18400,118,104,83,50120308,0,0,0,
38133188,164344487,0,18005,123,77,44,50133390,0,0,0,
38295883,164666758,0,20294,120,23,40,50152262,0,0,0,
38264414,164433585,0,18719,120,57,43,50122378,0,0,0,
38010813,164002447,0,18192,119,13,41,50223246,0,0,0,
38270497,164453049,0,13457,119,45,41,50036085,0,0,0,
38215453,164256363,0,17127,122,102,44,50138083,0,0,0,
38104711,164177124,0,18017,91,45,40,49743279,0,0,0,
38165954,164403056,0,15205,62,62,42,48775905,0,0,0,
38145781,164254429,0,16292,61,31,41,48840818,0,0,0,
38189042,164347117,0,17937,60,47,41,48812866,0,0,0,
38101637,163998344,0,21714,117,45,41,48771968,0,0,0,
38137905,164150672,0,21031,60,49,41,48844073,0,0,0,
38197312,164312810,0,20156,62,30,40,48894401,0,0,0,
38373830,164625393,0,18780,59,32,67,48854751,0,0,0,
39774262,168463558,0,20878,72,104,121,48840236,0,0,0,
41097372,172296246,0,18861,62,61,109,48853297,0,0,0,
42339656,175930749,0,21930,69,53,118,48839244,0,0,0,
43595719,179469902,0,21761,63,33,114,48866545,0,0,0,
45015034,183589835,0,22216,61,33,110,48748937,0,0,0,
46405281,187605753,0,21315,61,20,111,48828969,0,0,0,
47686137,191031609,0,17956,62,43,110,48739024,0,0,0,
49158623,195246605,0,16733,62,27,109,48847893,0,0,0,
39885322,169398066,0,18942,53,198,123,47650220,0,0,0,
39600717,168122515,0,18517,54,150,113,46449360,0,0,0,
39556232,168096140,0,18537,52,45,141,45568166,0,0,0,
39609844,168383983,0,20776,80,43,112,44393433,0,0,0,
39725115,168536932,0,18534,53,54,111,43309032,0,0,0,
39729799,168856617,0,20636,50,63,111,41993775,0,0,0,
39725825,168995150,0,20120,68,12,106,41888508,0,0,0,
49365345,195589890,0,23830,112,22,114,41363539,0,0,0,
49273189,195477729,0,22855,117,41,112,41454335,0,0,0,
49486925,196076195,0,20445,111,46,113,41680249,0,0,0,
49566944,196391811,0,19102,111,21,113,41632500,0,0,0,
49481568,196318808,0,18611,111,20,114,41594512,0,0,0,
49404395,195692583,0,22394,114,67,114,41586563,0,0,0,
49521525,196392737,0,22794,114,57,115,41725651,0,0,0,
49525925,196420502,0,23809,113,34,112,41670232,0,0,0,
49530569,196731283,0,20148,113,70,119,41606518,0,0,0,
49563105,197085537,0,21047,111,26,112,41739466,0,0,0,
39681332,168788496,0,19646,114,25,116,49995621,0,0,0,
39683849,168891301,0,17449,199,88,129,50056599,0,0,0,
39719081,169127235,0,15309,116,104,120,50070398,0,0,0,
39722662,168986573,0,14515,133,157,134,50094143,0,0,0,
39721090,169351116,0,16260,117,43,117,50172238,0,0,0,
39683494,168475908,0,17946,116,68,116,50129654,0,0,0,
39720806,164519464,0,19003,115,54,117,50153148,0,0,0,
39763124,164017951,0,18781,117,46,117,50282502,0,0,0,
39638769,164067825,0,14821,116,34,116,50059091,0,0,0,
39721087,164485245,0,13837,118,18,117,50153556,0,0,0,
39672536,164573209,0,14636,119,23,118,50090298,0,0,0,
39720889,164188703,0,15272,121,3,120,50199350,0,0,0,
39128714,164400116,0,14938,115,15,80,50074606,0,0,0,
38134954,164235589,0,15387,118,38,41,50115454,0,0,0,
38115968,164115210,0,16460,118,22,40,50196191,0,0,0,
38128457,164024042,0,19484,118,43,40,50126152,0,0,0,
38155233,164166899,0,17917,130,28,40,50121408,0,0,0,
38213118,164376532,0,17293,118,31,41,50136773,0,0,0,
38315499,164542702,0,17602,120,47,40,50058698,0,0,0,
38175162,164164742,0,14324,91,24,40,50080529,0,0,0,
