PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_LL_MISS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
184719244,438022207,0,24,96,0,0,
184753807,438111080,0,24,103,0,0,
184760617,438104536,0,24,84,0,0,
184719160,438015715,0,24,94,0,0,
184646098,437926680,0,24,66,0,0,
184797413,438016926,0,24,155,0,0,
184735934,438018355,0,24,160,0,0,
184710419,438015368,0,24,100,0,0,
184803691,438108994,0,48,181,0,0,
184700702,438016597,0,24,84,0,0,
184728502,438014516,0,24,79,0,0,
184733921,438102924,0,24,58,0,0,
184764317,438109232,0,25,108,0,0,
184703172,438016512,0,24,112,0,0,
184753301,438103653,0,24,79,0,0,
184721649,438013676,0,24,83,0,0,
184696755,437930050,0,24,109,0,0,
184743398,438016337,0,24,121,0,0,
184689068,437925176,0,24,104,0,0,
184748002,438015798,0,25,85,0,0,
184745288,438104077,0,24,88,0,0,
184845113,438036042,0,1279,87,0,0,
184776139,438097299,0,24,123,0,0,
184698621,438013926,0,24,91,0,0,
184709245,438004084,0,24,108,0,0,
184791881,438201403,0,32,105,0,0,
184726971,438022065,0,24,88,0,0,
184715191,438019633,0,24,72,0,0,
184733162,437929552,0,79,172,0,0,
184744876,437935377,0,38,165,0,0,
184739683,438104435,0,24,75,0,0,
184689144,438005745,0,26,62,0,0,
184731079,438031140,0,28,108,0,0,
184681820,437924384,0,29,77,0,0,
184694672,438004196,0,24,71,0,0,
184689964,438015979,0,24,64,0,0,
184695514,438002388,0,24,79,0,0,
184713692,438015365,0,24,91,0,0,
184773915,438105132,0,24,126,0,0,
184726763,438103245,0,24,76,0,0,
184710800,438017365,0,24,97,0,0,
184704477,438016719,0,24,94,0,0,
184748217,438017941,1,32,105,1,0,
184779018,438105783,0,49,113,0,0,
184744465,438012000,0,24,88,0,0,
184692703,438002681,0,24,96,0,0,
184743788,438012325,0,24,91,0,0,
184744226,438094839,0,24,70,0,0,
184778285,438104919,0,25,103,0,0,
184743577,438016306,0,24,101,0,0,
184755024,438104924,0,24,74,0,0,
184693082,438015799,0,24,53,0,0,
184772948,438103261,0,25,121,0,0,
184729347,438016508,0,24,98,0,0,
184724651,438014806,0,24,79,0,0,
184735870,438011204,0,24,92,0,0,
184726151,438017111,0,24,104,0,0,
184688952,437841071,0,88,135,0,0,
184738124,438017985,0,25,175,0,0,
184705331,438015389,0,28,103,0,0,
184712398,438016147,0,24,95,0,0,
184773209,438187256,0,24,82,0,0,
184695773,437926357,0,24,112,0,0,
184686390,438015717,0,24,91,0,0,
184715850,438015561,0,26,72,0,0,
184733895,438105504,0,24,63,0,0,
184744201,438110709,0,24,84,0,0,
184700821,438003777,0,24,95,0,0,
184722771,438016512,0,24,65,0,0,
184825517,438109529,0,24,151,0,0,
184798227,438109721,0,24,162,0,0,
184726112,438103755,0,24,89,0,0,
184733312,438017403,0,24,98,0,0,
184709909,438008320,0,24,72,0,0,
184753232,438102467,0,24,100,0,0,
184715113,438011196,0,24,93,0,0,
184692203,438015773,0,24,64,0,0,
184844808,438104681,0,24,93,0,0,
184688005,438000522,0,24,80,0,0,
184739838,438099586,0,24,58,0,0,
184731040,438013470,0,24,124,0,0,
184819067,438048236,1,1554,68,1,0,
184662751,437925757,0,24,83,0,0,
184711356,438014544,0,24,90,0,0,
184696671,438003095,0,24,84,0,0,
184751380,438104578,0,27,99,0,0,
184739170,437932234,0,24,176,0,0,
184714068,438003719,0,24,119,0,0,
184641006,437838164,0,24,91,0,0,
184754022,438112443,0,30,90,0,0,
184722666,438024572,0,25,115,0,0,
184654358,437927177,0,24,69,0,0,
184672794,437914185,0,24,95,0,0,
184714856,438017167,0,24,85,0,0,
184711410,437926066,0,33,124,0,0,
184664521,438017350,1,31,84,1,0,
184587657,437737553,0,24,79,0,0,
184755841,438112229,0,29,78,0,0,
184771667,438104733,0,24,74,0,0,
184924943,438093903,1,29,75,1,0,
184769069,438096357,0,24,71,0,0,
184764214,437934689,0,107,181,0,0,
184751205,438016769,0,29,141,0,0,
184754700,438105732,0,24,99,0,0,
