PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_LL_MISS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
45835255,109555030,7,37,21,7,0,
45864791,109564966,8,41,29,8,0,
45824163,109511103,10,39,24,10,0,
45848013,109560198,7,36,18,7,0,
45872741,109600153,10,40,34,10,0,
45860795,109597826,4,28,31,4,0,
45884839,109472270,9,40,31,9,0,
45884804,109606404,10,41,22,10,0,
45866184,109525299,6,59,80,6,0,
45848043,109558246,8,37,23,8,0,
45882083,109612736,8,40,27,8,0,
45858741,109557480,7,38,26,7,0,
45827143,109550494,3,26,46,3,0,
45857767,109552234,7,35,15,7,0,
45864060,109563586,7,37,31,7,0,
45847849,109557664,8,36,15,8,0,
45889002,109560675,9,39,40,9,0,
45820422,109465750,9,37,31,9,0,
45873013,109562473,7,37,30,7,0,
45908649,109552823,6,35,23,6,0,
45875908,109605551,8,39,31,8,0,
45869621,109610099,8,38,30,8,0,
45858474,109560114,7,37,31,7,0,
45909330,109609312,10,40,30,10,0,
45858096,109517644,8,39,31,8,0,
45832813,109551484,3,24,19,3,0,
45875539,109560262,8,40,23,8,0,
45859244,109572100,8,41,51,8,0,
45864299,109563785,8,37,38,8,0,
45869469,109605616,7,35,27,7,0,
45856702,109559001,6,33,33,6,0,
45864960,109610855,8,42,28,8,0,
45858776,109558862,10,41,30,10,0,
45873562,109605705,10,40,35,10,0,
45861865,109561869,10,43,23,10,0,
45831873,109510537,10,39,34,10,0,
45838458,109516678,8,41,61,8,0,
45855102,109556962,8,42,24,8,0,
45915419,109609476,8,44,59,8,0,
45867925,109556103,8,39,28,8,0,
45838748,109513579,8,41,35,8,0,
45861864,109554179,6,50,72,6,0,
45874800,109563018,9,43,30,9,0,
45853785,109560102,8,42,27,8,0,
45854320,109519707,8,40,26,8,0,
45845986,109554846,7,41,36,7,0,
45857287,109560162,7,39,37,7,0,
45835922,109556019,6,37,29,6,0,
45886769,109569810,9,39,30,9,0,
46121655,109559080,9,106,47,9,0,
46294959,109567476,9,44,53,9,0,
46267342,109561419,8,38,54,8,0,
46296711,109610006,7,38,60,7,0,
46244405,109546469,3,23,36,3,0,
46318880,109618591,11,44,49,11,0,
46234274,109513070,8,35,30,8,0,
46255770,109564207,8,39,46,8,0,
46291747,109566860,10,45,50,10,0,
46220182,109546306,3,22,37,3,0,
46260108,109562840,8,36,37,8,0,
46270940,109557665,9,40,22,9,0,
46251006,109559573,7,40,50,7,0,
46289392,109616537,8,50,81,8,0,
46263404,109560361,8,36,45,8,0,
46240994,109555815,9,35,32,9,0,
46256066,109559384,10,41,30,10,0,
46211879,109547340,4,28,19,4,0,
46267305,109569068,10,41,10,10,0,
46259623,109560226,10,41,38,10,0,
46224300,109559660,6,33,39,6,0,
46268733,109608003,8,40,28,8,0,
46212891,109584272,1,18,13,1,0,
46279308,109571113,9,38,52,9,0,
46227380,109514478,8,36,18,8,0,
46245940,109558351,2,26,68,2,0,
46209471,109545942,6,30,30,6,0,
46287621,109573991,11,42,27,11,0,
46229702,109558263,7,37,25,7,0,
46250377,109558671,7,36,19,7,0,
46252381,109519472,9,40,37,9,0,
46272585,109606940,7,36,23,7,0,
46227416,109560032,4,30,40,4,0,
46236418,109554182,10,42,34,10,0,
46208769,109547090,1,17,38,1,0,
46290836,109607559,7,39,36,7,0,
46294763,109573863,11,43,22,11,0,
46223219,109542464,3,23,28,3,0,
46145717,109612308,10,41,35,10,0,
46248809,109558660,8,39,32,8,0,
46249152,109566484,7,44,27,7,0,
46278458,109567895,7,39,68,7,0,
46221765,109551955,6,33,21,6,0,
46253772,109518770,9,42,35,9,0,
46203758,109546058,3,26,15,3,0,
46297369,109570156,8,104,126,8,0,
46259112,109605523,9,36,23,9,0,
46257707,109559473,7,36,52,7,0,
46251048,109560559,8,35,21,8,0,
46265395,109567576,8,42,45,8,0,
46227916,109590924,3,25,27,3,0,
46300498,109611668,8,38,24,8,0,
46237139,109519575,8,40,33,8,0,
