PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ
348775877,1430133709,4,12163,386,287,455,472400069,0,4,0
348771912,1430597707,6,22626,393,287,468,472323487,0,6,0
338793270,1403246340,4,11891,407,488,457,483029761,0,4,0
337693920,1380913879,6,25231,508,734,597,483683119,0,6,0
329240065,1380836279,4,10569,381,280,376,482933907,0,4,0
329163986,1382809181,4,23780,325,343,378,473623694,0,4,0
340023246,1411577936,6,11035,365,315,494,474128217,0,6,0
338762860,1406764174,4,23709,371,550,521,474091331,0,4,0
338748790,1400835333,6,12862,356,285,456,471733196,0,6,0
348776987,1428578385,4,10632,397,338,464,471668528,0,4,0
348739527,1429977342,4,23453,410,418,477,472254842,0,4,0
338790951,1401254610,6,12186,417,399,478,484073342,0,6,0
338755001,1399815717,4,24026,405,318,478,478809181,0,4,0
338805408,1390323706,6,12042,418,266,492,481213526,0,6,0
338813442,1390737065,4,22419,397,369,478,481221191,0,4,0
338812442,1398623808,4,12031,400,236,481,479063511,0,4,0
338711639,1392715912,6,23854,420,402,501,480555631,0,6,0
335705585,1388947258,4,12078,411,291,425,481604537,0,4,0
334492074,1390152185,6,24115,422,412,376,481456483,0,6,0
333778625,1388527965,4,11319,391,390,388,479519782,0,4,0
331739324,1385621768,6,24970,354,317,406,475907795,0,6,0
337740540,1405753414,4,10930,337,310,407,473672223,0,4,0
348312926,1436288905,4,22904,415,302,513,474128092,0,4,0
348778505,1436395846,6,11833,427,336,489,474145172,0,6,0
338779593,1407396686,4,23181,417,274,480,483766609,0,4,0
338824645,1397841812,6,12731,429,369,471,479237840,0,6,0
334698339,1388465749,4,11274,459,291,434,481653020,0,4,0
331437339,1384607054,4,23491,388,447,394,481429068,0,4,0
330083387,1385256457,6,11771,340,373,423,473270713,0,6,0
341058092,1409637738,4,22340,340,389,526,476478511,0,4,0
346742757,1425982819,6,12272,353,265,484,476102031,0,6,0
338815040,1403117827,4,22219,332,314,472,472716776,0,4,0
338813085,1398615069,4,11465,347,263,472,470999401,0,4,0
348763906,1434571824,6,22545,408,307,555,473534912,0,6,0
348776427,1436001458,4,11448,387,234,468,474517004,0,4,0
338757553,1392019864,6,24042,402,429,487,480740373,0,6,0
338476532,1384806115,4,11219,406,488,445,482728292,0,4,0
332561888,1387248687,4,23634,410,309,404,482198165,0,4,0
334635371,1389657641,6,10857,391,307,387,480761727,0,6,0
333224625,1387968381,4,23930,386,316,428,476660308,0,4,0
334623526,1392465065,6,12641,318,314,418,476136783,0,6,0
340576002,1408463820,4,22719,346,533,467,476725283,0,4,0
346153783,1424130888,6,12546,350,326,447,476287771,0,6,0
338796622,1401960044,4,11316,326,330,458,474144549,0,4,0
338816296,1405578076,4,23476,344,515,457,473442241,0,4,0
348773500,1436681674,6,12732,477,372,489,474237405,0,6,0
338803547,1401283893,4,23069,418,373,499,481849912,0,4,0
338793071,1391896032,6,13051,424,321,495,480748652,0,6,0
338806115,1392826547,4,22043,408,270,485,480696023,0,4,0
337274684,1386618933,4,11869,408,346,437,482134441,0,4,0
330161181,1382660966,6,24024,396,314,405,483208952,0,6,0
338747036,1408622839,4,11242,342,266,409,473848620,0,4,0
338781307,1403026302,6,23618,337,422,534,476221554,0,6,0
338800703,1409085059,4,10768,350,446,470,474343308,0,4,0
348720123,1436426072,4,24144,401,415,472,474296111,0,4,0
338808888,1398219060,6,11440,420,324,494,480271190,0,6,0
338816325,1387229945,4,22732,400,357,478,483906742,0,4,0
358742217,1388572039,6,13323,434,355,508,470101154,0,6,0
348673556,1429224500,4,23095,471,357,537,472109251,0,4,0
348775828,1430711742,4,12208,397,276,468,472592148,0,4,0
338813298,1400900398,6,11826,418,351,490,481135238,0,6,0
338818327,1400652608,4,23318,405,397,484,481385387,0,4,0
338786319,1389302838,6,12942,423,356,496,481407872,0,6,0
338743841,1388846903,4,22425,404,288,479,481597117,0,4,0
332380949,1385171285,4,12222,463,611,603,482535224,0,4,0
330080800,1382479129,6,22818,467,812,447,478472942,0,6,0
333736517,1394803256,4,12138,325,337,411,473937402,0,4,0
344132396,1419007426,6,23378,333,351,492,476200344,0,6,0
338778320,1398209531,4,11329,316,323,472,477402916,0,4,0
338821830,1402554527,6,23769,326,431,463,474422663,0,6,0
338812737,1408188424,4,11170,339,353,468,474028796,0,4,0
348738819,1434378271,4,23544,391,323,469,473423706,0,4,0
338811423,1399736090,6,12228,417,325,474,480831618,0,6,0
338814689,1391417571,4,23068,413,293,469,482165415,0,4,0
337798093,1385675428,6,12386,427,240,451,482399911,0,6,0
339624948,1401935190,4,23152,402,352,423,478239575,0,4,0
335795152,1387128644,4,12071,417,363,452,482029463,0,4,0
333190763,1387576745,6,11985,425,388,391,481925477,0,6,0
330317057,1383356909,4,22868,401,521,403,476493898,0,4,0
335592667,1399810480,6,12354,357,352,440,473732331,0,6,0
346137846,1421393546,4,21819,342,219,463,477522559,0,4,0
338813418,1403679820,4,11967,317,385,479,475277366,0,4,0
338820352,1402079939,6,22116,330,362,551,472093625,0,6,0
348736531,1429530503,4,11799,398,264,473,472025193,0,4,0
348777247,1435520840,6,23707,397,384,493,473922894,0,6,0
338782683,1391472158,4,10851,390,246,470,484096978,0,4,0
331212734,1378163463,4,23183,394,389,432,484246333,0,4,0
328877934,1380091749,6,11337,392,448,390,476697191,0,6,0
336128048,1399035885,4,23363,382,303,473,475133891,0,4,0
344158907,1417793008,6,11520,324,284,473,476644474,0,6,0
338801610,1401807723,4,22575,323,465,461,476648689,0,4,0
338815987,1397103490,6,12192,332,269,458,474541039,0,6,0
338809266,1402475150,4,21817,335,364,451,472153044,0,4,0
348784514,1438085968,4,11797,395,303,463,474691158,0,4,0
338756098,1402630202,6,12601,413,358,474,483953455,0,6,0
338812399,1385601022,4,23407,471,426,531,482601174,0,4,0
333829374,1386577449,6,12851,412,408,444,482213011,0,6,0
335197017,1390955323,4,22388,416,292,390,481153508,0,4,0
339032293,1396818117,4,12766,410,246,381,479484462,0,4,0
332781327,1387266601,6,22843,393,309,386,478372458,0,6,0
332965468,1387614295,4,12002,352,321,397,476370457,0,4,0
338384185,1401988764,6,23444,329,281,444,476723975,0,6,0
343610535,1414650189,4,10743,325,332,469,477252479,0,4,0
347808060,1427188959,4,23163,335,440,469,476968733,0,4,0
338776877,1402580187,6,12024,322,319,467,472921030,0,6,0
338817826,1401656820,4,23337,336,435,460,471991562,0,4,0
348780070,1429685953,6,12556,419,387,472,472080055,0,6,0
351394065,1395404065,4,22683,391,339,454,479286577,0,4,0
355921756,1425689472,4,12444,361,345,482,471434407,0,4,0
348778228,1427985659,6,23489,421,373,495,471533914,0,6,0
338811230,1400662959,4,11614,412,257,481,481061031,0,4,0
338811084,1397284106,6,12319,417,478,488,482336086,0,6,0
335656787,1380328998,4,22467,397,406,440,484048826,0,4,0
329325761,1381021117,4,12770,380,433,393,481192225,0,4,0
336068189,1392196182,6,22527,380,298,443,478169191,0,6,0
333798103,1390309432,4,11600,321,247,411,476057192,0,4,0
340003542,1405760217,6,22969,335,248,491,476974608,0,6,0
344952012,1418515946,4,11164,318,334,456,477244923,0,4,0
338778919,1401454747,6,24574,321,336,462,477150680,0,6,0
338813564,1400922478,4,10611,313,303,456,473598098,0,4,0
338820357,1402375530,4,23309,351,440,458,472310555,0,4,0
348752851,1419238479,6,11990,394,277,484,469867338,0,6,0
338816598,1402229091,4,23115,351,381,476,472316460,0,4,0
348783432,1429719376,6,12085,411,324,482,472134382,0,6,0
348746768,1426452625,4,22319,402,299,467,471005174,0,4,0
348753456,1430775748,4,11912,394,267,471,472472018,0,4,0
338780870,1400494251,6,23500,406,321,487,482003717,0,6,0
338811030,1386733989,4,11319,397,261,483,482069701,0,4,0
335802283,1386733048,6,12319,405,380,455,482130191,0,6,0
334222937,1389292759,4,22485,402,423,382,481515050,0,4,0
333819014,1388621960,4,12614,373,406,378,479424929,0,4,0
343109926,1403044263,6,23261,369,250,378,480011294,0,6,0
332408271,1386173647,4,11967,383,360,385,478300404,0,4,0
332832469,1387024938,6,24033,346,328,419,476323360,0,6,0
338846193,1401090661,4,10725,333,275,446,477231497,0,4,0
343057174,1414862000,4,23635,344,347,475,476621894,0,4,0
348482881,1428700349,6,11355,337,269,479,477156618,0,6,0
338816640,1402396857,4,22854,334,500,481,472882639,0,4,0
338814471,1403441018,6,11969,338,333,483,472372275,0,6,0
348711722,1429891718,4,22557,395,378,478,472252837,0,4,0
348774559,1429611750,6,12640,385,313,476,472078369,0,6,0
338813957,1403104484,4,22277,394,286,469,481696451,0,4,0
338812645,1389918424,4,12170,392,316,518,482051384,0,4,0
338481424,1388491433,6,23935,402,302,432,481747088,0,6,0
336358064,1392773705,4,12221,398,341,365,480721570,0,4,0
333437534,1388079036,6,13125,433,402,391,481808323,0,6,0
334242353,1389299870,4,23126,397,359,384,479593584,0,4,0
338294824,1395734074,4,12579,341,374,394,479280742,0,4,0
332006025,1385839776,6,23305,337,265,388,475933825,0,6,0
337801524,1401176553,4,11751,333,279,405,476220668,0,4,0
343933542,1418959588,6,23244,348,257,478,475877107,0,6,0
338781582,1402406898,4,10964,313,317,469,474607125,0,4,0
338812655,1405507696,4,23203,342,324,479,473237634,0,4,0
348750456,1432038401,6,11623,415,442,500,472920472,0,6,0
338812510,1405678181,4,23296,403,388,478,483556600,0,4,0
336234024,1377938679,6,12298,393,337,447,484465172,0,6,0
331111249,1384292295,4,23099,403,415,422,482629659,0,4,0
337151343,1393921491,4,13324,368,337,383,478747665,0,4,0
333009646,1387440917,6,23036,321,313,366,476500273,0,6,0
335927571,1395969377,4,12777,330,345,410,476220813,0,4,0
342175462,1413439359,6,23462,331,276,473,476211077,0,6,0
348134683,1428691977,4,10568,338,359,451,476733472,0,4,0
338800082,1405618113,4,12419,355,496,461,473183081,0,4,0
348785826,1431908564,6,22820,418,365,480,472929111,0,6,0
348769895,1436729836,4,12072,458,297,527,474460068,0,4,0
338819357,1390183518,6,23712,422,375,482,481967695,0,6,0
338809836,1389076420,4,11530,406,264,474,481553612,0,4,0
338814579,1398341271,6,24654,424,296,498,479210621,0,6,0
335807282,1388121262,4,11825,405,419,442,481608562,0,4,0
332803518,1387162650,4,23598,411,312,393,482182384,0,4,0
333634452,1388347488,6,11853,436,405,381,478034910,0,6,0
332571806,1390762290,4,23541,324,381,408,474543118,0,4,0
341872820,1417289427,6,12141,321,309,474,474043313,0,6,0
338813467,1405099946,4,22167,335,300,471,473253143,0,4,0
348773481,1434270274,4,12397,439,744,613,473552038,0,4,0
348743314,1436180456,6,23904,537,625,609,474362489,0,6,0
338782695,1382284338,4,11744,444,337,526,483660022,0,4,0
330077888,1381611838,6,23402,384,276,458,483388186,0,6,0
334783027,1390353331,4,10736,365,371,384,478721986,0,4,0
331519968,1385074801,4,12281,318,457,382,475514620,0,4,0
338446250,1406762411,6,23938,319,335,388,474458679,0,6,0
347670210,1433205660,4,11870,314,284,437,474120508,0,4,0
338815479,1408669559,6,24097,332,392,457,474549351,0,6,0
348781471,1434806375,4,11182,374,334,438,473647745,0,4,0
338812932,1387199817,4,23834,384,252,440,483797570,0,4,0
358724103,1388035359,6,13440,518,527,578,470025452,0,6,0
348773749,1429169993,4,23765,483,570,572,471858711,0,4,0
348715853,1431885705,6,13166,408,527,472,472616772,0,6,0
338808503,1402009126,4,23214,407,541,549,481752018,0,4,0
338808787,1398068982,6,12408,420,510,519,481275991,0,6,0
338778992,1390617513,4,22760,431,334,486,481204595,0,4,0
337789566,1386244441,4,12082,377,297,420,482234982,0,4,0
330624573,1383345813,6,23490,401,276,414,483036141,0,6,0
331000937,1384758636,4,11301,362,405,368,476207845,0,4,0
335483314,1394011819,6,24573,318,338,395,476546266,0,6,0
341030475,1409020896,4,10854,331,357,446,476673952,0,4,0
346327694,1427263553,4,11718,332,446,445,474953004,0,4,0
338814967,1398988795,6,23461,341,363,471,473029767,0,6,0
338817338,1409314745,4,11980,341,335,457,474530686,0,4,0
348773714,1432180074,6,24774,417,362,483,472869346,0,6,0
338817710,1401753631,4,10896,408,360,478,481186381,0,4,0
338812299,1386116851,4,23730,435,385,508,482778814,0,4,0
335305636,1385862306,6,12487,429,275,461,482300047,0,6,0
332366352,1386219035,4,23635,409,290,388,482311168,0,4,0
335976272,1391926302,6,11947,394,407,395,478441573,0,6,0
331189547,1388057096,4,22727,341,368,408,473829715,0,4,0
341507729,1417325553,4,12127,348,276,464,473449875,0,4,0
338811542,1396480812,6,22688,330,289,493,476258855,0,6,0
338796750,1409880279,4,11545,334,355,471,474757106,0,4,0
348779334,1438329425,6,23489,391,283,476,474977557,0,6,0
338809818,1390806596,4,10923,391,301,466,483886144,0,4,0
331656967,1380322909,4,23942,392,320,440,483866298,0,4,0
334457557,1389642553,6,11095,384,386,387,480106983,0,6,0
330446430,1383224468,4,12297,332,450,397,475051309,0,4,0
338268181,1407977894,6,23904,325,226,405,473656550,0,6,0
338786612,1409667332,4,11425,333,374,464,474601163,0,4,0
348759358,1430100386,6,24140,396,407,484,472305647,0,6,0
348774485,1429816784,4,10319,387,270,468,472233481,0,4,0
338815499,1403487517,4,23814,398,397,476,481978041,0,4,0
338743492,1396239829,6,12527,414,301,479,481987485,0,6,0
338780564,1399655804,4,23820,412,346,472,478978515,0,4,0
338810579,1385747480,6,12762,430,485,485,482426735,0,6,0
330949124,1379508796,4,23341,411,309,454,484256935,0,4,0
327495933,1378336841,4,13095,383,333,386,475649001,0,4,0
